t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
18.7000,54.000,27.000,444.9600,444.9600,0.000100,0
18.7500,50.000,25.000,428.6400,428.6400,0.000100,0
18.8000,46.000,23.000,445.4400,445.4400,0.000100,0
18.8500,52.000,26.000,428.6400,428.6400,0.000100,0
18.9000,52.000,26.000,418.0800,418.0800,0.000100,0
18.9500,46.000,23.000,454.5600,454.5600,0.000100,0
19.0000,52.000,26.000,419.0400,419.0400,0.000100,0
19.0500,52.000,26.000,417.6000,417.6000,0.000100,0
19.1000,54.000,27.000,455.2800,455.2800,0.000100,0
19.1500,50.000,25.000,417.8400,417.8400,0.000100,0
19.2000,50.000,25.000,445.2000,445.2000,0.000100,0
19.2500,46.000,23.000,427.6800,427.6800,0.000100,0
19.3000,54.000,27.000,446.1600,446.1600,0.000100,0
19.3500,52.000,26.000,428.1600,428.1600,0.000100,0
19.4000,56.000,28.000,444.2400,444.2400,0.000100,0
19.4500,46.000,23.000,429.1200,429.1200,0.000100,0
19.5000,52.000,26.000,418.5600,418.5600,0.000100,0
19.5500,54.000,27.000,455.2800,455.2800,0.000100,0
19.6000,58.000,29.000,418.0800,418.0800,0.000100,0
19.6500,50.000,25.000,418.0800,418.0800,0.000100,0
19.7000,50.000,25.000,455.0400,455.0400,0.000100,0
19.7500,50.000,25.000,418.0800,418.0800,0.000100,0
19.8000,46.000,23.000,445.4400,445.4400,0.000100,0
19.8500,52.000,26.000,428.4000,428.4000,0.000100,0
19.9000,54.000,27.000,446.1600,446.1600,0.000100,0
19.9500,46.000,23.000,427.9200,427.9200,0.000100,0
20.0000,54.000,27.000,445.6800,445.6800,0.000100,0
20.0500,52.000,26.000,427.6800,427.6800,0.000100,0
20.1000,48.000,24.000,445.2000,445.2000,0.000100,0
20.1500,52.000,26.000,427.9200,427.9200,0.000100,0
20.2000,52.000,26.000,417.3600,417.3600,0.000100,0
20.2500,50.000,25.000,457.2000,457.2000,0.000100,0
20.3000,46.000,23.000,415.6800,415.6800,0.000100,0
20.3500,50.000,25.000,422.6400,422.6400,0.000100,0
20.4000,60.000,30.000,454.3200,454.3200,0.000100,0
20.4500,50.000,25.000,420.9600,420.9600,0.000100,0
20.5000,50.000,25.000,445.4400,445.4400,0.000100,0
20.5500,46.000,23.000,428.1600,428.1600,0.000100,0
20.6000,50.000,25.000,444.4800,444.4800,0.000100,0
20.6500,52.000,26.000,428.4000,428.4000,0.000100,0
20.7000,50.000,25.000,444.9600,444.9600,0.000100,0
20.7500,46.000,23.000,427.9200,427.9200,0.000100,0
20.8000,52.000,26.000,415.4400,415.4400,0.000100,0
20.8500,48.000,24.000,456.7200,456.7200,0.000100,0
20.9000,48.000,24.000,417.1200,417.1200,0.000100,0
20.9500,52.000,26.000,420.2400,420.2400,0.000100,0
21.0000,46.000,23.000,451.9200,451.9200,0.000100,0
21.0500,52.000,26.000,421.4400,421.4400,0.000100,0
21.1000,52.000,26.000,445.2000,445.2000,0.000100,0
21.1500,50.000,25.000,427.9200,427.9200,0.000100,0
21.2000,50.000,25.000,445.4400,445.4400,0.000100,0
21.2500,52.000,26.000,429.6000,429.6000,0.000100,0
21.3000,50.000,25.000,445.4400,445.4400,0.000100,0
21.3500,50.000,25.000,428.6400,428.6400,0.000100,0
21.4000,50.000,25.000,415.9200,415.9200,0.000100,0
21.4500,50.000,25.000,457.9200,457.9200,0.000100,0
21.5000,50.000,25.000,415.4400,415.4400,0.000100,0
21.5500,50.000,25.000,422.6400,422.6400,0.000100,0
21.6000,48.000,24.000,451.2000,451.2000,0.000100,0
21.6500,50.000,25.000,422.1600,422.1600,0.000100,0
21.7000,46.000,23.000,427.2000,427.2000,0.000100,0
21.7500,46.000,23.000,389.2800,389.2800,0.000100,0
21.8000,50.000,25.000,399.1200,399.1200,0.000100,0
21.8500,48.000,24.000,384.0000,384.0000,0.000100,0
21.9000,50.000,25.000,398.8800,398.8800,0.000100,0
21.9500,52.000,26.000,379.2000,379.2000,0.000100,0
22.0000,46.000,23.000,414.0000,414.0000,0.000100,0
22.0500,46.000,23.000,410.1600,410.1600,0.000100,0
22.1000,52.000,26.000,371.5200,371.5200,0.000100,0
22.1500,50.000,25.000,409.6800,409.6800,0.000100,0
