t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
20.3500,102.000,51.000,407.2800,407.2800,0.000100,0
20.4000,104.000,52.000,421.2000,421.2000,0.000100,0
20.4500,102.000,51.000,422.4000,422.4000,0.000100,0
20.5000,104.000,52.000,419.7600,419.7600,0.000100,0
20.5500,100.000,50.000,407.0400,407.0400,0.000100,0
20.6000,100.000,50.000,434.6400,434.6400,0.000100,0
20.6500,102.000,51.000,409.6800,409.6800,0.000100,0
20.7000,100.000,50.000,401.2800,401.2800,0.000100,0
20.7500,100.000,50.000,442.3200,442.3200,0.000100,0
20.8000,104.000,52.000,400.8000,400.8000,0.000100,0
20.8500,98.000,49.000,424.8000,424.8000,0.000100,0
20.9000,106.000,53.000,418.8000,418.8000,0.000100,0
20.9500,104.000,52.000,424.0800,424.0800,0.000100,0
21.0000,100.000,50.000,419.5200,419.5200,0.000100,0
21.0500,98.000,49.000,424.5600,424.5600,0.000100,0
21.1000,104.000,52.000,419.5200,419.5200,0.000100,0
21.1500,98.000,49.000,407.2800,407.2800,0.000100,0
21.2000,100.000,50.000,436.3200,436.3200,0.000100,0
21.2500,98.000,49.000,407.0400,407.0400,0.000100,0
21.3000,98.000,49.000,401.0400,401.0400,0.000100,0
21.3500,102.000,51.000,442.0800,442.0800,0.000100,0
21.4000,98.000,49.000,401.5200,401.5200,0.000100,0
21.4500,98.000,49.000,424.8000,424.8000,0.000100,0
21.5000,100.000,50.000,417.6000,417.6000,0.000100,0
21.5500,104.000,52.000,422.4000,422.4000,0.000100,0
21.6000,100.000,50.000,410.6400,410.6400,0.000100,0
21.6500,104.000,52.000,423.1200,423.1200,0.000100,0
21.7000,104.000,52.000,419.7600,419.7600,0.000100,0
21.7500,98.000,49.000,424.3200,424.3200,0.000100,0
21.8000,98.000,49.000,417.1200,417.1200,0.000100,0
21.8500,104.000,52.000,405.8400,405.8400,0.000100,0
21.9000,98.000,49.000,437.2800,437.2800,0.000100,0
21.9500,102.000,51.000,407.5200,407.5200,0.000100,0
22.0000,102.000,51.000,401.0400,401.0400,0.000100,0
22.0500,98.000,49.000,438.2400,438.2400,0.000100,0
22.1000,108.000,54.000,400.0800,400.0800,0.000100,0
22.1500,98.000,49.000,426.2400,426.2400,0.000100,0
22.2000,104.000,52.000,417.3600,417.3600,0.000100,0
22.2500,102.000,51.000,426.4800,426.4800,0.000100,0
22.3000,102.000,51.000,417.6000,417.6000,0.000100,0
22.3500,100.000,50.000,426.0000,426.0000,0.000100,0
22.4000,104.000,52.000,417.3600,417.3600,0.000100,0
22.4500,98.000,49.000,406.0800,406.0800,0.000100,0
22.5000,100.000,50.000,437.5200,437.5200,0.000100,0
22.5500,102.000,51.000,403.2000,403.2000,0.000100,0
22.6000,102.000,51.000,402.4800,402.4800,0.000100,0
22.6500,102.000,51.000,442.5600,442.5600,0.000100,0
22.7000,102.000,51.000,400.0800,400.0800,0.000100,0
22.7500,100.000,50.000,428.4000,428.4000,0.000100,0
22.8000,98.000,49.000,415.9200,415.9200,0.000100,0
22.8500,102.000,51.000,427.9200,427.9200,0.000100,0
22.9000,98.000,49.000,417.6000,417.6000,0.000100,0
